Time,Alt,V-Speed,V-Acc,H-Speed,H-Acc,Fuel,Weight,Angle,A-Speed,A-Acc
   0s,30000,-24.80m/s, 0.00m/s²,1700.00m/s, 0.00m/s²,210,375,90.00°,0,0
  10s,29779.14,-25.03m/s,-0.40m/s²,1684.84m/s,-1.69m/s²,208,373,89.52°,-0.09,-0.01
  20s,29533.43,-23.94m/s, 1.30m/s²,1667.91m/s,-1.70m/s²,205.78,370.78,88.05°,-0.19,-0.01
  30s,29289.41,-24.52m/s,-0.40m/s²,1650.87m/s,-1.71m/s²,203.56,368.56,85.60°,-0.29,-0.01
  40s,29043.05,-25.09m/s,-0.40m/s²,1633.73m/s,-1.72m/s²,201.34,366.34,82.54°,-0.31,0
  50s,28797.15,-23.91m/s, 1.33m/s²,1616.49m/s,-1.73m/s²,199.12,364.12,79.48°,-0.31,0
  60s,28551.96,-24.43m/s,-0.40m/s²,1599.14m/s,-1.74m/s²,196.9,361.9,76.43°,-0.31,0
  70s,28306.84,-24.94m/s,-0.40m/s²,1581.68m/s,-1.75m/s²,194.68,359.68,73.37°,-0.31,0
  80s,28061.17,-23.66m/s, 1.36m/s²,1564.12m/s,-1.76m/s²,192.46,357.46,70.31°,-0.31,0
  90s,27816.94,-24.12m/s,-0.40m/s²,1546.44m/s,-1.77m/s²,190.24,355.24,67.25°,-0.31,0
 100s,27571.75,-24.56m/s,-0.40m/s²,1528.66m/s,-1.78m/s²,188.02,353.02,64.20°,-0.31,0
 110s,27325.84,-24.98m/s,-0.40m/s²,1510.76m/s,-1.79m/s²,185.8,350.8,61.14°,-0.31,0
 120s,27079.44,-25.38m/s,-0.40m/s²,1492.75m/s,-1.81m/s²,183.58,348.58,58.08°,-0.31,0
 130s,26833.7,-23.94m/s, 1.42m/s²,1474.63m/s,-1.82m/s²,181.36,346.36,55.03°,-0.31,0
 140s,26588.89,-24.29m/s,-0.40m/s²,1456.39m/s,-1.83m/s²,179.14,344.14,51.97°,-0.31,0
 150s,26344.35,-24.62m/s,-0.40m/s²,1438.03m/s,-1.84m/s²,176.92,341.92,48.91°,-0.31,0
 160s,26100.33,-24.92m/s,-0.40m/s²,1419.55m/s,-1.85m/s²,174.7,339.7,45.85°,-0.31,0
 170s,25855.23,-25.21m/s,-0.40m/s²,1400.95m/s,-1.87m/s²,172.48,337.48,42.80°,-0.31,0
 180s,25610.25,-23.59m/s, 1.48m/s²,1382.22m/s,-1.88m/s²,170.26,335.26,39.74°,-0.31,0
 190s,25365.63,-23.82m/s, 1.49m/s²,1363.38m/s,-1.89m/s²,168.04,333.04,36.68°,-0.31,0
 200s,25122.6,-24.02m/s,-0.40m/s²,1344.40m/s,-1.90m/s²,165.82,330.82,33.63°,-0.31,0
 210s,24877.61,-24.20m/s,-0.40m/s²,1325.30m/s,-1.92m/s²,163.6,328.6,30.57°,-0.31,0
 220s,24634.76,-24.36m/s,-0.40m/s²,1306.07m/s,-1.93m/s²,161.38,326.38,27.51°,-0.31,0
 230s,24390.46,-24.49m/s,-0.40m/s²,1286.71m/s,-1.94m/s²,159.16,324.16,24.45°,-0.31,0
 240s,24144.97,-24.60m/s,-0.40m/s²,1267.21m/s,-1.96m/s²,156.94,321.94,21.40°,-0.31,0
 250s,23902.46,-24.68m/s,-0.40m/s²,1247.58m/s,-1.97m/s²,154.72,319.72,18.34°,-0.31,0
 260s,23659.3,-24.74m/s,-0.40m/s²,1227.82m/s,-1.98m/s²,152.5,317.5,15.28°,-0.31,0
 270s,23415.74,-24.77m/s,-0.40m/s²,1207.91m/s,-2.00m/s²,150.28,315.28,12.23°,-0.31,0
 280s,23172.07,-24.77m/s,-0.40m/s²,1187.87m/s,-2.01m/s²,148.06,313.06, 9.17°,-0.31,0
 290s,22928.55,-24.74m/s,-0.40m/s²,1167.68m/s,-2.03m/s²,145.84,310.84, 6.11°,-0.31,0
 300s,22685.48,-24.68m/s,-0.40m/s²,1147.34m/s,-2.04m/s²,143.62,308.62, 3.05°,-0.31,0
 310s,22443.14,-24.60m/s,-0.40m/s²,1126.87m/s,-2.05m/s²,141.4,306.4,-0.00°,-0.31,0
 320s,22199.75,-24.48m/s,-0.40m/s²,1106.24m/s,-2.07m/s²,139.18,304.18,-2.19°,-0.16,0.015
 330s,21955.62,-24.34m/s,-0.40m/s²,1085.46m/s,-2.08m/s²,136.96,301.96,-2.89°,-0.01,0.015
 340s,21713.1,-24.16m/s,-0.40m/s²,1064.52m/s,-2.10m/s²,134.74,299.74,-2.11°,0.14,0.015
 350s,21468.28,-23.95m/s,-0.40m/s²,1043.44m/s,-2.12m/s²,132.52,297.52, 0.19°,0.29,0.015
 360s,21225.69,-23.71m/s,-0.40m/s²,1022.19m/s,-2.13m/s²,130.3,295.3, 2.18°,0.14,-0.016
 370s,20981.36,-23.44m/s, 1.75m/s²,1000.78m/s,-2.15m/s²,128.08,293.08, 2.61°,-0.02,-0.016
 380s,20738.8,-25.29m/s,-0.40m/s², 979.21m/s,-2.16m/s²,125.86,290.86, 1.44°,-0.18,-0.016
 390s,20496.17,-24.97m/s,-0.40m/s², 957.48m/s,-2.18m/s²,123.64,288.64,-0.94°,-0.21,0.016
 400s,20252.69,-24.60m/s,-0.40m/s², 935.58m/s,-2.20m/s²,121.42,286.42,-2.08°,-0.05,0.017
 410s,20010.84,-24.20m/s,-0.40m/s², 913.50m/s,-2.22m/s²,119.2,284.2,-1.55°,0.12,0.017
 420s,19748.74,-28.22m/s,-0.40m/s², 891.26m/s,-2.23m/s²,116.98,281.98, 0.53°,0.22,-0.017
 430s,19446.48,-32.23m/s,-0.40m/s², 868.84m/s,-2.25m/s²,114.76,279.76, 1.71°,0.05,-0.017
 440s,19104.06,-36.25m/s,-0.40m/s², 846.24m/s,-2.27m/s²,112.54,277.54, 1.14°,-0.13,-0.018
 450s,18721.48,-40.27m/s,-0.40m/s², 823.46m/s,-2.29m/s²,110.32,275.32,-0.76°,-0.16,0.018
 460s,18298.72,-44.28m/s,-0.40m/s², 800.49m/s,-2.30m/s²,108.1,273.1,-1.29°,0.02,0.018
 470s,17835.78,-48.30m/s,-0.40m/s², 777.34m/s,-2.32m/s²,105.88,270.88, 0.00°,0.2,0.019
 480s,17332.64,-52.32m/s,-0.40m/s², 753.99m/s,-2.34m/s²,103.66,268.66, 0.92°,0.02,-0.019
 490s,16789.29,-56.35m/s,-0.40m/s², 730.46m/s,-2.36m/s²,101.44,266.44,-0.06°,-0.17,-0.019
 500s,16205.73,-60.37m/s,-0.40m/s², 706.72m/s,-2.38m/s²,99.22,264.22,-0.64°,0.02,0.019
 510s,15581.93,-64.39m/s,-0.40m/s², 682.79m/s,-2.40m/s²,97,262, 0.44°,0.1,-0.02
 520s,14917.89,-68.42m/s,-0.40m/s², 658.65m/s,-2.42m/s²,94.78,259.78, 0.22°,-0.1,-0.02
 530s,14213.58,-72.44m/s,-0.40m/s², 634.30m/s,-2.44m/s²,92.56,257.56,-0.40°,0.02,0.02
 540s,13468.99,-76.47m/s,-0.40m/s², 609.75m/s,-2.47m/s²,90.34,255.34, 0.32°,0.02,-0.021
 550s,12684.11,-80.50m/s,-0.40m/s², 584.98m/s,-2.49m/s²,88.12,253.12,-0.24°,-0.02,0.021
 560s,11858.92,-84.54m/s,-0.40m/s², 559.99m/s,-2.51m/s²,85.9,250.9, 0.07°,-0.02,-0.022
 570s,10993.39,-88.57m/s,-0.40m/s², 534.78m/s,-2.53m/s²,83.68,248.68, 0.10°,0.02,-0.022
 580s,10087.51,-92.61m/s,-0.40m/s², 509.35m/s,-2.55m/s²,81.46,246.46, 0.02°,0.02,0.022
 590s,9245.11,-73.54m/s, 2.17m/s², 483.68m/s,-2.58m/s²,79.24,244.24,-0.03°,-0.02,-0.023
 600s,8618.86,-51.67m/s, 2.20m/s², 457.78m/s,-2.60m/s²,77.02,242.02,-0.02°,-0.02,-0.023
 610s,8124.92,-47.88m/s, 2.22m/s², 431.64m/s,-2.62m/s²,74.8,239.8, 0.01°,0.02,0.024
 620s,7635.17,-49.28m/s,-0.40m/s², 405.26m/s,-2.65m/s²,72.58,237.58, 0.02°,0.02,0.024
 630s,7143.42,-47.99m/s, 2.27m/s², 378.63m/s,-2.67m/s²,70.36,235.36, 0.03°,0.02,0.025
 640s,6655.38,-49.35m/s,-0.40m/s², 351.75m/s,-2.70m/s²,68.14,233.14,-0.03°,-0.03,-0.025
 650s,6163.35,-47.96m/s, 2.32m/s², 324.61m/s,-2.73m/s²,65.92,230.92, 0.01°,0.02,0.025
 660s,5673.12,-49.26m/s,-0.40m/s², 297.21m/s,-2.75m/s²,63.7,228.7, 0.02°,0.02,0.026
 670s,5182.34,-47.77m/s, 2.37m/s², 269.54m/s,-2.78m/s²,61.48,226.48, 0.03°,0.03,0.027
 680s,4694.16,-49.02m/s,-0.40m/s², 241.60m/s,-2.81m/s²,59.26,224.26,-0.03°,-0.03,-0.027
 690s,4201.98,-50.26m/s,-0.41m/s², 213.38m/s,-2.83m/s²,57.04,222.04,-0.02°,-0.03,-0.028
 700s,3713.25,-48.61m/s,-0.41m/s², 184.88m/s,-2.86m/s²,54.82,219.82, 0.02°,0.03,0.028
 710s,3222.68,-49.79m/s,-0.41m/s², 156.09m/s,-2.89m/s²,52.6,217.6, 0.03°,0.03,0.029
 720s,2733.53,-48.03m/s,-0.41m/s², 127.00m/s,-2.92m/s²,50.38,215.38,-0.04°,-0.03,-0.029
 730s,2246.23,-49.14m/s,-0.41m/s²,  97.62m/s,-2.95m/s²,48.16,213.16,-0.02°,-0.03,-0.03
 740s,1753.82,-50.23m/s,-0.41m/s²,  67.92m/s,-2.98m/s²,45.94,210.94, 0.02°,0.03,0.031
 750s,1267.1,-48.29m/s,-0.41m/s²,  37.92m/s,-3.02m/s²,43.72,208.72, 0.04°,0.03,0.031
 760s,801.85,-37.15m/s, 2.64m/s²,   7.59m/s,-3.05m/s²,41.5,206.5,-0.04°,-0.03,-0.032
 770s,563.09,-10.55m/s, 2.67m/s²,  -1.58m/s, 0.00m/s²,39.28,204.28,-0.03°,-0.03,-0.033
 780s,474.36,-8.42m/s,-0.41m/s²,  -1.58m/s, 0.00m/s²,37.06,202.06, 0.02°,0.03,0.033
 790s,387.1,-9.35m/s,-0.41m/s²,  -1.58m/s, 0.00m/s²,34.84,199.84, 0.04°,0.03,0.034
 800s,297.03,-10.25m/s,-0.41m/s²,  -1.58m/s, 0.00m/s²,32.62,197.62,-0.05°,-0.04,-0.035
 810s,209.36,-7.90m/s,-0.41m/s²,  -1.58m/s, 0.00m/s²,30.4,195.4,-0.04°,-0.04,-0.036
 820s,121.39,-8.72m/s,-0.41m/s²,  -1.58m/s, 0.00m/s²,28.18,193.18, 0.02°,0.03,0.036
 830s,61.43,-2.94m/s,-0.41m/s²,  -1.58m/s, 0.00m/s²,25.96,190.96, 0.04°,0.04,0.037
 840s,23.34,-3.68m/s,-0.41m/s²,  -1.58m/s, 0.00m/s²,23.74,188.74, 0.05°,0.04,0.038
 845s,-1.03,-2.76m/s,-0.41m/s²,  -1.58m/s, 0.00m/s²,22.41,187.41,-0.03°,-0.04,-0.039
Time,Alt,V-Speed,V-Acc,H-Speed,H-Acc,Fuel,Weight,Angle,A-Speed,A-Acc
   0s,30000,-24.80m/s, 0.00m/s²,1700.00m/s, 0.00m/s²,210,375,90.00°,0,0
  10s,29779.14,-25.03m/s,-0.40m/s²,1684.84m/s,-1.69m/s²,208,373,89.52°,-0.09,-0.01
  20s,29533.43,-23.94m/s, 1.30m/s²,1667.91m/s,-1.70m/s²,205.78,370.78,88.05°,-0.19,-0.01
  30s,29289.41,-24.52m/s,-0.40m/s²,1650.87m/s,-1.71m/s²,203.56,368.56,85.60°,-0.29,-0.01
  40s,29043.05,-25.09m/s,-0.40m/s²,1633.73m/s,-1.72m/s²,201.34,366.34,82.54°,-0.31,0
  50s,28797.15,-23.91m/s, 1.33m/s²,1616.49m/s,-1.73m/s²,199.12,364.12,79.48°,-0.31,0
  60s,28551.96,-24.43m/s,-0.40m/s²,1599.14m/s,-1.74m/s²,196.9,361.9,76.43°,-0.31,0
  70s,28306.84,-24.94m/s,-0.40m/s²,1581.68m/s,-1.75m/s²,194.68,359.68,73.37°,-0.31,0
  80s,28061.17,-23.66m/s, 1.36m/s²,1564.12m/s,-1.76m/s²,192.46,357.46,70.31°,-0.31,0
  90s,27816.94,-24.12m/s,-0.40m/s²,1546.44m/s,-1.77m/s²,190.24,355.24,67.25°,-0.31,0
